FRM_index,FRM_q50,FRM_q60,FRM_q70,FRM_q80,FRM_q90,FRM_iqr,VSTOXX,CISS,FT,date
0.111975868958286,0.112934305595745,0.0980937519713999,0.11203957097539,0.130671424216821,0.135208086558961,0.144281451894851,0.0975075107910673,0.0441261431230949,0.220875455101579,2007-05-02
0.100461240756878,0.115580337572015,0.106727603728577,0.100512020206898,0.0996150733045029,0.106033880377128,0.116504508869315,0.092542838844718,0.0449792013183063,0.225865400842069,2007-05-03
0.109207560581879,0.128126246105963,0.116111440812709,0.104842894060308,0.0994619742562187,0.109306844412935,0.100633717198779,0.0828855496024618,0.0462780216330092,0.221709867867849,2007-05-04
0.104467746438833,0.113466805902962,0.105425140285609,0.0914252488517624,0.104837952307069,0.115209203941081,0.0907730199764368,0.0838709341497576,0.0505668996508992,0.25852119313822,2007-05-07
0.108402819393754,0.105409446365398,0.10030438172376,0.0990437748286434,0.127502555929273,0.124023403688185,0.13621418670792,0.0899758925735589,0.0515821378511376,0.347028152061064,2007-05-08
0.103266685206806,0.111179130025189,0.100129303276142,0.0888104877096058,0.105747493456038,0.115300971773159,0.100736251942699,0.0853262312750902,0.0521283616525576,0.295555476963888,2007-05-09
0.0975610699134954,0.0999045422675705,0.098659321621284,0.0946594898149575,0.11260953379885,0.111736294282799,0.0979375915665815,0.0935099996355249,0.0520484787575858,0.270320537742936,2007-05-10
0.104250567857865,0.098447655915905,0.0871625003699546,0.0917344420755106,0.13046142288565,0.122205597843181,0.124951490586215,0.0881821542562885,0.0511853968686486,0.18339646689862,2007-05-11
0.110309847208694,0.106913644722661,0.0979210337737434,0.103003359308027,0.121621755520313,0.135090765680535,0.111955527937802,0.0956747215670348,0.0444642236793407,0.155755072534536,2007-05-14
0.111281248398861,0.101367357559674,0.09708948099202,0.103515879753352,0.134167566005786,0.125771291575255,0.128632798389658,0.0908779685197623,0.0418275342621456,0.261274917733307,2007-05-15
0.117014325226931,0.107395545817269,0.0966243981729666,0.100520133235642,0.117944124980409,0.128072300676283,0.118514786129043,0.0911291960199316,0.0395227971782561,0.160978409554814,2007-05-16
0.114129545432532,0.108639363565829,0.091708310628713,0.10155203389092,0.118503420343767,0.118280518252413,0.130060228206925,0.0879452454219321,0.0378680733338834,0.198465079340094,2007-05-17
0.114148060443532,0.107033090730253,0.108588071917371,0.116109673385093,0.127871891420864,0.125656058655212,0.14527550517315,0.0702304524177718,0.0371814236352386,0.299903902434394,2007-05-18
