ym,FRM_index,FRM_q50,FRM_q60,FRM_q70,FRM_q80,FRM_q90,FRM_iqr,lag1_FRM_index,lag1_FRM_q50,lag1_FRM_q60,lag1_FRM_q70,lag1_FRM_q80,lag1_FRM_q90,lag1_FRM_iqr,lag2_FRM_index,lag2_FRM_q50,lag2_FRM_q60,lag2_FRM_q70,lag2_FRM_q80,lag2_FRM_q90,lag2_FRM_iqr,lag3_FRM_index,lag3_FRM_q50,lag3_FRM_q60,lag3_FRM_q70,lag3_FRM_q80,lag3_FRM_q90,lag3_FRM_iqr,lag4_FRM_index,lag4_FRM_q50,lag4_FRM_q60,lag4_FRM_q70,lag4_FRM_q80,lag4_FRM_q90,lag4_FRM_iqr,lag5_FRM_index,lag5_FRM_q50,lag5_FRM_q60,lag5_FRM_q70,lag5_FRM_q80,lag5_FRM_q90,lag5_FRM_iqr,lag6_FRM_index,lag6_FRM_q50,lag6_FRM_q60,lag6_FRM_q70,lag6_FRM_q80,lag6_FRM_q90,lag6_FRM_iqr,rec
2008-02,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,0.0407541797882036,0.0372352400421198,0.0407420550839504,0.0457245384626183,0.0523967533096076,0.0615617256637031,0.00912120255150052,0.0373511369591175,0.0347266344674378,0.0379396969165692,0.0414126254232046,0.0462774730549369,0.0545167292206657,0.00762549185944857,0.0348646112856348,0.0324395099008248,0.0352033362541838,0.0388200980919915,0.0424938510416416,0.0491689822995681,0.00699600763610008,0.0373688034045242,0.0344769467932371,0.0376515151608493,0.0409845399366911,0.0459760942290848,0.0564143484287181,0.0078677416366017,0.0363704109540465,0.0339870347670361,0.0372322797990593,0.0410469337258674,0.0461334338328021,0.0539488793397673,0.00810063093813228,0.0323719556310895,0.0295436059709103,0.0324471465114184,0.0361609322337166,0.0409756643720806,0.0487508113372365,0.0072218558060449,0
2008-03,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,0.0407541797882036,0.0372352400421198,0.0407420550839504,0.0457245384626183,0.0523967533096076,0.0615617256637031,0.00912120255150052,0.0373511369591175,0.0347266344674378,0.0379396969165692,0.0414126254232046,0.0462774730549369,0.0545167292206657,0.00762549185944857,0.0348646112856348,0.0324395099008248,0.0352033362541838,0.0388200980919915,0.0424938510416416,0.0491689822995681,0.00699600763610008,0.0373688034045242,0.0344769467932371,0.0376515151608493,0.0409845399366911,0.0459760942290848,0.0564143484287181,0.0078677416366017,0.0363704109540465,0.0339870347670361,0.0372322797990593,0.0410469337258674,0.0461334338328021,0.0539488793397673,0.00810063093813228,0
2008-04,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,0.0407541797882036,0.0372352400421198,0.0407420550839504,0.0457245384626183,0.0523967533096076,0.0615617256637031,0.00912120255150052,0.0373511369591175,0.0347266344674378,0.0379396969165692,0.0414126254232046,0.0462774730549369,0.0545167292206657,0.00762549185944857,0.0348646112856348,0.0324395099008248,0.0352033362541838,0.0388200980919915,0.0424938510416416,0.0491689822995681,0.00699600763610008,0.0373688034045242,0.0344769467932371,0.0376515151608493,0.0409845399366911,0.0459760942290848,0.0564143484287181,0.0078677416366017,1
2008-05,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,0.0407541797882036,0.0372352400421198,0.0407420550839504,0.0457245384626183,0.0523967533096076,0.0615617256637031,0.00912120255150052,0.0373511369591175,0.0347266344674378,0.0379396969165692,0.0414126254232046,0.0462774730549369,0.0545167292206657,0.00762549185944857,0.0348646112856348,0.0324395099008248,0.0352033362541838,0.0388200980919915,0.0424938510416416,0.0491689822995681,0.00699600763610008,1
2008-06,0.0346159736872526,0.0325912520503964,0.0352939684671521,0.0382606652747844,0.0419932128038491,0.0477640764100518,0.00626347131898014,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,0.0407541797882036,0.0372352400421198,0.0407420550839504,0.0457245384626183,0.0523967533096076,0.0615617256637031,0.00912120255150052,0.0373511369591175,0.0347266344674378,0.0379396969165692,0.0414126254232046,0.0462774730549369,0.0545167292206657,0.00762549185944857,1
2008-07,0.0386549423718442,0.0358855135619484,0.038782187646367,0.0417668992579024,0.0463148026746119,0.0536847539836842,0.00678550057019055,0.0346159736872526,0.0325912520503964,0.0352939684671521,0.0382606652747844,0.0419932128038491,0.0477640764100518,0.00626347131898014,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,0.0407541797882036,0.0372352400421198,0.0407420550839504,0.0457245384626183,0.0523967533096076,0.0615617256637031,0.00912120255150052,1
2008-08,0.0437148558822648,0.0395203592549102,0.042345339957182,0.0470702987706987,0.0539390597393301,0.0654424753547496,0.00851127286250733,0.0386549423718442,0.0358855135619484,0.038782187646367,0.0417668992579024,0.0463148026746119,0.0536847539836842,0.00678550057019055,0.0346159736872526,0.0325912520503964,0.0352939684671521,0.0382606652747844,0.0419932128038491,0.0477640764100518,0.00626347131898014,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,0.0492147391652195,0.0450614987825408,0.0493324279555228,0.0546291982733436,0.062239098410447,0.0728145920555827,0.0110168831643791,1
2008-09,0.0483291487265156,0.0433074617982364,0.0471820900795742,0.0526430589901372,0.0603223651743641,0.0745347372840828,0.00997982185935557,0.0437148558822648,0.0395203592549102,0.042345339957182,0.0470702987706987,0.0539390597393301,0.0654424753547496,0.00851127286250733,0.0386549423718442,0.0358855135619484,0.038782187646367,0.0417668992579024,0.0463148026746119,0.0536847539836842,0.00678550057019055,0.0346159736872526,0.0325912520503964,0.0352939684671521,0.0382606652747844,0.0419932128038491,0.0477640764100518,0.00626347131898014,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,0.0496316266121202,0.0456098995495565,0.0498786506127938,0.0553652640769282,0.0630091649601328,0.0729796729061711,0.010847128866499,1
2008-10,0.0757405362520851,0.0684558144074553,0.0748582608313534,0.0834422497687675,0.0939580066173203,0.111753772930008,0.0164296113134732,0.0483291487265156,0.0433074617982364,0.0471820900795742,0.0526430589901372,0.0603223651743641,0.0745347372840828,0.00997982185935557,0.0437148558822648,0.0395203592549102,0.042345339957182,0.0470702987706987,0.0539390597393301,0.0654424753547496,0.00851127286250733,0.0386549423718442,0.0358855135619484,0.038782187646367,0.0417668992579024,0.0463148026746119,0.0536847539836842,0.00678550057019055,0.0346159736872526,0.0325912520503964,0.0352939684671521,0.0382606652747844,0.0419932128038491,0.0477640764100518,0.00626347131898014,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,0.0477446022195604,0.0438611033171829,0.0479646836052023,0.0526087905187427,0.059737845114813,0.071133458518318,0.0105310590073407,1
2008-11,0.0940526979283657,0.0881163069047085,0.0943886858696431,0.102921233491202,0.114464209863751,0.133906361264276,0.0173402548796736,0.0757405362520851,0.0684558144074553,0.0748582608313534,0.0834422497687675,0.0939580066173203,0.111753772930008,0.0164296113134732,0.0483291487265156,0.0433074617982364,0.0471820900795742,0.0526430589901372,0.0603223651743641,0.0745347372840828,0.00997982185935557,0.0437148558822648,0.0395203592549102,0.042345339957182,0.0470702987706987,0.0539390597393301,0.0654424753547496,0.00851127286250733,0.0386549423718442,0.0358855135619484,0.038782187646367,0.0417668992579024,0.0463148026746119,0.0536847539836842,0.00678550057019055,0.0346159736872526,0.0325912520503964,0.0352939684671521,0.0382606652747844,0.0419932128038491,0.0477640764100518,0.00626347131898014,0.0392011155715889,0.0363524276154691,0.0396440111604311,0.0437792231525018,0.0482478000694416,0.0554797978200842,0.0075129640172227,1
